Traditional,Simplified,Kanji,Hanja,Hanji,Reading,Old,Cantonese,Mandarin,Sino,Native,JGrade,Year Added,Sino,Native,KGrade,Sino-Vietnamese,Part of Speech,Meaning,Radical,Strokes
降,,,,降,"hanu, kanu","hanu, kanu","gong 3 , hong 4 ","jiàng, xiáng",コウ,お-りる、お-ろす、ふ-る,6,,강,내릴,M,,,descend,阜,10
抗,,,,抗,"hanu, kanu","hanu, kanu",kong 3 ,kàng,コウ,0,S,,항,막을,H,,,confront,手,7
合,,,,合,hapu,hapu,"gap 3 , hap 6 ","hé, gě",ゴウ、ガッ、（カッ）,あ-う、あ-わす、あ-わせる,2,,합,합할,M,"hợp, cáp, cóp, góp, gộp, họp, hạp",,fit,口,6
峽,峡,峡,,峡,hapu,hapu,haap 6 ,xiá,キョウ,0,S,,0,0,0,,,gorge,山,9
狹,狭,狭,,狭,hapu,hapu,"gip 6 , haap 6 ",xiá,キョウ,せま-い、せば-める、せば-まる,S,,0,0,0,,,cramped,犬,9
蓋,盖,,,蓋,"hapu, kai, kapu","hapu, kai, kapu","gap 3 , goi 3 , hap 6 , koi 3 ","gài, gě",ガイ,ふた,S,2010,개,덮을,H,,,cover,艸,13
活,,,,活,hatu,huatu,wut 6 ,huó,カツ,0,2,,활,살,M,"hoạt, oặt, oạc",,active,水,9
褐,,,,褐,hatu,hatu,hot 3 ,hè,カツ,0,S,1981,0,0,0,,desc,brown,衣,13
滑,,,,滑,hatu,"hotu, huatu, kotu","gwat 1 , waat 6 ",huá,カツ、コツ,すべ-る、なめ-らか,S,,0,0,0,,,slippery,水,13
舌,,,,舌,jetu,"huatu, jietu","sit 3 , sit 6 ",shé,ゼツ,した,5,,설,혀,M,,n,tongue,舌,6
轄,辖,,,轄,"hatu, kai","hatu, kai",hat 6 ,"xiá, hé",カツ,0,S,,0,0,0,,,control,車,17
越,,,,越,"hatu, wetu","huatu, uetu",yut 6 ,yuè,エツ,こ-す、こ-える,S,,월,넘을,H,,,cross over,走,12
校,,,,校,hau,hau,"gaau 3 , haau 6 ","jiào, xiào",コウ,0,1,,교,학교,M,"hiệu, chò, giâu",n,school,木,10
號,号,号,,号,hau,hau,"hou 4 , hou 6 ","hào, háo",ゴウ,0,3,,호,부르짖을,M,,,number,虍,5
好,,,,好,hau,hau,"hou 2 , hou 3 ","hǎo, hào",コウ,この-む、す-く,4,,호,좋을,M,,,like,女,6
效,,効,,効,hau,hau,haau 6 ,xiào,コウ,き-く,5,,효,본받을,M,,,effect,力,8
孝,,,,孝,hau,hau,haau 3 ,xiào,コウ,0,6,,효,효도,M,,,filial piety,子,7
豪,,,,豪,hau,hau,hou 4 ,háo,ゴウ,0,S,,호,호걸,H,,,overpowering,豕,14
拷,,,,拷,hau,hau,"haau 1 , haau 2 ",kǎo,ゴウ,0,S,,0,0,0,,,torture,手,9
耗,,,,耗,"hau, hei","hau, huei",hou 3 ,hào,モウ、（コウ）,0,S,,0,0,0,,,decrease,耒,10
回,,,,回,hei,huei,wui 4 ,huí,カイ、（エ）,まわ-る、まわ-す,2,,회,돌,M,"hồi, hòi",adv,times,囗,6
系,,,,系,hei,hei,hai 6 ,"xì, jì",ケイ,0,6,,계,이을,H,,,lineage,糸,7
灰,,,,灰,hei,huei,fui 1 ,huī,カイ,はい,6,,0,0,0,,,ashes,火,6
惠,,恵,,恵,hei,huei,wai 6 ,huì,ケイ、エ,めぐ-む,S,,혜,은혜,M,,,favor,心,10
悔,,,,悔,hei,huei,fui 3 ,huǐ,カイ,く-いる、く-やむ、くや-しい,S,,회,뉘우칠,H,,,repent,心,9
携,,,,携,hei,huei,kwai 4 ,xié,ケイ,たずさ-える、たずさ-わる,S,,휴,가질,H,,,portable,手,13
